index	raw_category	category	count	nyuId	nyu40id	eigen13id	eigen13fixedid	nyuClass	nyu40class	eigen13class	eigen13fixedclass	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey	mpcat40index	mpcat40	occ_id	occ_class	objnav_occ	objnav_occ_id
806	bouquet	bouquet	2		40	7	7		otherprop	Objects	Objects					n02879087	bouquet.n.01	39	objects	2	occupied	occupied	2
807	garage door opener bar	garage door opener bar	2	51	38	7	7	bar	otherstructure	Objects	Objects							40	misc	2	occupied	occupied	2
808	pots	pot	2	16	40	7	7	pot	otherprop	Objects	Objects					n03991062	pot.n.04	39	objects	2	occupied	occupied	2
809	decorations	decoration	2		40	7	7		otherprop	Objects	Objects					n03169390	decoration.n.01	39	objects	2	occupied	occupied	2
810	unkown	unknown	2	20	40	7	7	unknown	otherprop	Objects	Objects					n08632096	unknown.n.01	41	unlabeled	2	occupied	occupied	2
811	kitchen decoration	kitchen decoration	2		40	7	7		otherprop	Objects	Objects					n03169390	decoration.n.01	39	objects	2	occupied	occupied	2
812	archway corner	archway corner	2		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
813	kitchen wall	kitchen wall	2	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
814	cabinet door	cabinet door	2	28	8	12	12	door	door	Wall	Wall	door						40	misc	2	occupied	occupied	2
815	sauna bowl	sauna bowl	2	22	40	7	7	bowl	otherprop	Objects	Objects	bowl		bowl	2880940	n02880940	bowl.n.03	39	objects	2	occupied	occupied	2
816	bar chair	bar chair	2	5	5	4	4	chair	chair	Chair	Chair	chair	chair	chair	3001627	n03001627	chair.n.01	3	chair	2	occupied	chair	3
817	shelf cubby	shelf cubby	2		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
818	toilet plunger	toilet plunger	2	563	40	7	7	toilet plunger	otherprop	Objects	Objects					n03970156	plunger.n.03	39	objects	2	occupied	occupied	2
819	belts	belt	2	610	40	7	7	belt	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
820	sewing machine	sewing machine	2	890	40	7	7	sewing machine	otherprop	Objects	Objects					n04179913	sewing_machine.n.01	37	appliances	2	occupied	occupied	2
821	hot water/cold water knob	hot water/cold water knob	2	652	40	7	7	knob	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
822	barbeque	barbecue	2		40	7	7		otherprop	Objects	Objects					n02790669	barbecue.n.03	40	misc	2	occupied	occupied	2
823	cutting board	cutting board	2	247	40	7	7	cutting board	otherprop	Objects	Objects					n03025513	chopping_board.n.01	39	objects	2	occupied	occupied	2
824	soapbox	soapbox	2	671	40	7	7	soap box	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
825	washing stuff	washing stuff	2		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
826	dining table decoration	decoration	2		40	7	7		otherprop	Objects	Objects					n03169390	decoration.n.01	39	objects	2	occupied	occupied	2
827	copier	copier	2		40	7	7		otherprop	Objects	Objects					n03257586	duplicator.n.01	39	objects	2	occupied	occupied	2
828	unknown (picture or window)	unknown picture/window	2		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
829	stair handle	stair handle	2	758	40	7	7	handle	otherprop	Objects	Objects					n04047401	railing.n.01	30	railing	2	occupied	occupied	2
830	reflection	reflection	2	64	11	8	8	picture	picture	Picture	Picture					n04068976	reflection.n.05	6	picture	2	occupied	occupied	2
831	horizonal bar for exercise?	exercise equipment	2	457	39	6	6	excercise equipment	otherfurniture	Furniture	Furniture					n04285146	sports_equipment.n.01	33	gym_equipment	2	occupied	occupied	2
832	shelving / other room	shelving /otherroom	2	42	15	6	6	shelves	shelves	Furniture	Furniture					n04190052	shelf.n.01	31	shelving	2	occupied	occupied	2
833	seats	seat	2	524	39	6	6	furniture	otherfurniture	Furniture	Furniture					n04161981	seat.n.03	34	seating	2	occupied	occupied	2
834	shower stall	shower stall	2		40	7	7		otherprop	Objects	Objects					n04209613	shower_stall.n.01	40	misc	2	occupied	occupied	2
835	chairs	chair	2	5	5	4	4	chair	chair	Chair	Chair	chair	chair	chair	3001627	n03001627	chair.n.01	3	chair	2	occupied	chair	3
836	stair /otherroom	stair /otherroom	2	215	38	7	7	stairs	otherstructure	Objects	Objects	stairs				n04314914	step.n.04	16	stairs	2	occupied	occupied	2
837	kitchen stuff	clutter	2		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
838	unkown object	object	2		40	7	7		otherprop	Objects	Objects					n00002684	object.n.01	39	objects	2	occupied	occupied	2
839	throne	throne	2	5	5	4	4	chair	chair	Chair	Chair	chair	chair	chair	3001627	n04429376	throne.n.01	3	chair	2	occupied	chair	3
840	socket	socket	2		40	7	7		otherprop	Objects	Objects					n04255163	socket.n.02	39	objects	2	occupied	occupied	2
841	bathroom art	bathroom art	2		40	7	7		otherprop	Objects	Objects					n02743547	art.n.01	39	objects	2	occupied	occupied	2
842	night table	night table	2	19	7	10	10	table	table	Table	Table	table	table	table	4379243	n04379243	table.n.02	5	table	2	occupied	occupied	2
843	display	display	2		40	7	7		otherprop	Objects	Objects					n03211117	display.n.06	22	tv_monitor	2	occupied	tv_monitor	7
844	tabletop	tabletop	2	19	7	10	10	table	table	Table	Table					n04381860	tabletop.n.01	39	objects	2	occupied	occupied	2
845	thrash bin	trash bin	2	307	40	7	7	bin	otherprop	Objects	Objects			trash_bin	2747177	n02747177	ashcan.n.01	39	objects	2	occupied	occupied	2
846	l shape sofa	l-shaped sofa	2	83	6	9	9	sofa	sofa	Sofa	Sofa	sofa	sofa	sofa	4256520	n04256520	sofa.n.01	10	sofa	2	occupied	sofa	8
847	cardboard box	cardboard box	2	26	29	7	7	box	box	Objects	Objects							40	misc	2	occupied	occupied	2
848	wall borader	wall board	1	408	38	7	7	board	otherstructure	Objects	Objects							40	misc	2	occupied	occupied	2
849	kitchen appliances	kitchen appliance	1		40	7	7		otherprop	Objects	Objects					n03620052	kitchen_appliance.n.01	37	appliances	2	occupied	occupied	2
850	ceiling object	object	1		40	7	7		otherprop	Objects	Objects					n00002684	object.n.01	39	objects	2	occupied	occupied	2
851	wall hanging decoration	wall hanging decoration	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
852	stand / small table	stand/small table	1	19	7	10	10	table	table	Table	Table	table	table	table	4379243	n04379243	table.n.02	5	table	2	occupied	occupied	2
853	kitchen ceiling	kitchen ceiling	1	4	22	3	3	ceiling	ceiling	Ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling	1	unoccupied	unoccupied	1
854	floor matt	floor mat	1	143	20	5	5	floor mat	floor mat	Floor	Floor					n03727837	mat.n.01	2	floor	1	unoccupied	unoccupied	1
855	wall indent	wall indent	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
856	chairir	chair	1	5	5	4	4	chair	chair	Chair	Chair	chair	chair	chair	3001627	n03001627	chair.n.01	3	chair	2	occupied	chair	3
857	window seat	window seat	1	777	38	7	7	window seat	otherstructure	Objects	Objects	bench		bench	2828884	n04590021	window_seat.n.01	34	seating	2	occupied	occupied	2
858	bike	bicycle	1	189	40	7	7	bicycle	otherprop	Objects	Objects			bicycle	2834778	n02834778	bicycle.n.01	39	objects	2	occupied	occupied	2
859	towels (rolled)	towel	1	135	27	7	7	towel	towel	Objects	Objects					n04459362	towel.n.01	20	towel	2	occupied	occupied	2
860	wall \other oom	wall /otherroom	1	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
861	shower pipe	shower pipe	1	664	40	7	7	shower pipe	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
862	towel or curtain bar	towel/curtain bar	1	51	38	7	7	bar	otherstructure	Objects	Objects							40	misc	2	occupied	occupied	2
863	shower glass	shower glass	1	612	38	7	7	glass	otherstructure	Objects	Objects							40	misc	2	occupied	occupied	2
864	stone bench	stone bench	1	204	39	6	6	bench	otherfurniture	Furniture	Furniture	bench		bench	2828884	n02828884	bench.n.01	34	seating	2	occupied	occupied	2
865	window/other room	window /otherroom	1	59	9	13	13	window	window	Window	Window					n04587648	window.n.01	9	window	2	occupied	occupied	2
866	back splash sink	sink	1	24	34	7	7	sink	sink	Objects	Objects	sink				n04223580	sink.n.01	15	sink	2	occupied	occupied	2
867	iron board	iron board	1	408	38	7	7	board	otherstructure	Objects	Objects							40	misc	2	occupied	occupied	2
868	computer equipment	computer equipment	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
869	shelf / cabinet	shelf/cabinet	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
870	stove door	stove door	1	28	8	12	12	door	door	Wall	Wall	door						40	misc	2	occupied	occupied	2
871	door inside	door	1	28	8	12	12	door	door	Wall	Wall	door				n03221720	door.n.01	4	door	2	occupied	occupied	2
872	unknown stove accessory	unknown stove accessory	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
873	circular sofa	circular sofa	1	83	6	9	9	sofa	sofa	Sofa	Sofa	sofa	sofa	sofa	4256520	n04256520	sofa.n.01	10	sofa	2	occupied	sofa	8
874	dustpan	dustpan	1		40	7	7		otherprop	Objects	Objects					n03259009	dustpan.n.02	39	objects	2	occupied	occupied	2
875	bathroom door	door	1	28	8	12	12	door	door	Wall	Wall	door				n03221720	door.n.01	4	door	2	occupied	occupied	2
876	paining	painting	1	64	11	8	8	picture	picture	Picture	Picture					n03876519	painting.n.01	39	objects	2	occupied	occupied	2
877	luggage	luggage	1	783	40	7	7	luggage	otherprop	Objects	Objects					n02774630	baggage.n.01	39	objects	2	occupied	occupied	2
878	dooframe	doorframe	1	615	38	7	7	door frame	otherstructure	Objects	Objects					n03222722	doorframe.n.01	4	door	2	occupied	occupied	2
879	outside wall	wall	2	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
880	alarm control	alarm control	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
881	oil lamp	oil lamp	1	144	35	7	7	lamp	lamp	Objects	Objects	lamp		lamp	3636649	n03636649	lamp.n.02	28	lighting	2	occupied	occupied	2
882	scaffolding	scaffolding	1		40	7	7		otherprop	Objects	Objects					n04141712	scaffolding.n.01	39	objects	2	occupied	occupied	2
883	bed light	bed light	1	62	38	7	7	light	otherstructure	Objects	Objects							40	misc	2	occupied	occupied	2
884	baluster	baluster	1	453	38	7	7	banister	otherstructure	Objects	Objects					n02783994	baluster.n.01	39	objects	2	occupied	occupied	2
885	leg rest	leg rest	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
886	ceiling / upstairs room	ceiling /otheroom	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
887	tv cabinet	tv stand	1	291	39	6	6	tv stand	otherfurniture	Furniture	Furniture	tv_stand				n03290653	entertainment_center.n.01	36	furniture	2	occupied	occupied	2
888	hole	hole	1		40	7	7		otherprop	Objects	Objects					n09304750	hole.n.05	39	objects	2	occupied	occupied	2
889	ping pong table	ping pong table	1	625	39	6	6	ping pong table	otherfurniture	Furniture	Furniture	table	table	table	4379243	n04379243	table.n.02	5	table	2	occupied	occupied	2
890	hutch	hutch	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
891	low shelf	shelf	1	42	15	6	6	shelves	shelves	Furniture	Furniture					n04190052	shelf.n.01	31	shelving	2	occupied	occupied	2
892	foliage	foliage	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
893	windows sill	window frame	1	59	9	13	13	window	window	Window	Window					n04589593	window_frame.n.01	9	window	2	occupied	occupied	2
894	toilet cistern	toilet	1	124	33	7	7	toilet	toilet	Objects	Objects	toilet	toilet			n04446276	toilet.n.01	18	toilet	2	occupied	toilet	6
895	stone circle	stone circle	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
896	bathroom  sink	sink	1	24	34	7	7	sink	sink	Objects	Objects	sink				n04223580	sink.n.01	15	sink	2	occupied	occupied	2
897	record player	record player	1	220	40	7	7	machine	otherprop	Objects	Objects					n04064401	record_player.n.01	39	objects	2	occupied	occupied	2
898	table cushion	table cushion	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
899	power outlet	outlet	1		40	7	7		otherprop	Objects	Objects					n04548771	wall_socket.n.01	39	objects	2	occupied	occupied	2
900	machine	machine	1	220	40	7	7	machine	otherprop	Objects	Objects					n03699975	machine.n.01	39	objects	2	occupied	occupied	2
901	door post	doorpost	1		40	7	7		otherprop	Objects	Objects					n03222857	doorjamb.n.01	39	objects	2	occupied	occupied	2
902	briefcase	briefcase	1	617	40	7	7	briefcase	otherprop	Objects	Objects					n02900705	briefcase.n.01	39	objects	2	occupied	occupied	2
903	wall of doors	door	1	28	8	12	12	door	door	Wall	Wall	door				n03221720	door.n.01	4	door	2	occupied	occupied	2
904	showe wall	shower wall	1	21	1	12	12	wall	wall	Wall	Wall					n04208936	shower.n.01	23	shower	2	occupied	occupied	2
905	door stand	door stand	1	50	39	6	6	stand	otherfurniture	Furniture	Furniture							40	misc	2	occupied	occupied	2
906	energy box	energy box	1	26	29	7	7	box	box	Objects	Objects							40	misc	2	occupied	occupied	2
907	balcony floor	floor	1	11	2	5	5	floor	floor	Floor	Floor					n03365592	floor.n.01	2	floor	1	unoccupied	unoccupied	1
908	bean bag	beanbag	1	797	39	6	6	bean bag	otherfurniture	Furniture	Furniture					n02816656	beanbag.n.01	3	chair	2	occupied	chair	3
909	kitchen extractor	kitchen extractor	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
910	toilet bin	toilet bin	1	307	40	7	7	bin	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
911	wall in other room	wall /otherroom	1	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
912	plumbing	plumbing	1		40	7	7		otherprop	Objects	Objects					n03969041	plumbing.n.01	39	objects	2	occupied	occupied	2
913	moose head / sculpture / hunting trophy	moose head/sculpture/hunting trophy	1	547	40	7	7	trophy	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
914	ceiling dome	ceiling dome	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
915	cabinet counter	cabinet counter	1	7	12	6	6	counter	counter	Furniture	Furniture							40	misc	2	occupied	occupied	2
916	cabinet \other room	cabinet /otherroom	1	3	3	6	6	cabinet	cabinet	Furniture	Furniture			cabinet	2933112	n02933112	cabinet.n.01	7	cabinet	2	occupied	occupied	2
917	flowerbed	flowerbed	1	157	4	1	1	bed	bed	Bed	Bed	bed	bed			n03368352	flowerbed.n.01	39	objects	2	occupied	occupied	2
918	paingitn	painting	1	64	11	8	8	picture	picture	Picture	Picture					n03876519	painting.n.01	39	objects	2	occupied	occupied	2
919	bed headboard	headboard	1	161	39	6	6	headboard	otherfurniture	Furniture	Furniture					n03502200	headboard.n.01	11	bed	2	occupied	bed	4
920	antique clock	antique clock	1	56	40	7	7	clock	otherprop	Objects	Objects			clock	3046257	n03046257	clock.n.01	39	objects	2	occupied	occupied	2
921	rocks	rock	1		40	7	7		otherprop	Objects	Objects					n09416076	rock.n.01	39	objects	2	occupied	occupied	2
922	shower caddy for soap etc.	shower caddy	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
923	window / frame	window frame	1	59	9	13	13	window	window	Window	Window					n04589593	window_frame.n.01	9	window	2	occupied	occupied	2
924	media console	media console	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
925	cloths	cloth	1		40	7	7		otherprop	Objects	Objects					n03309808	fabric.n.01	39	objects	2	occupied	occupied	2
926	vaccum cleaner	vacuum cleaner	1	306	40	7	7	vacuum cleaner	otherprop	Objects	Objects					n04517823	vacuum.n.04	37	appliances	2	occupied	occupied	2
927	door frame fireplace wall	door frame	1	28	8	12	12	door	door	Wall	Wall	door				n03221720	door.n.01	4	door	2	occupied	occupied	2
928	fruit dish	fruit dish	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
929	risers for theater seating	risers for theater seating	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
930	interior bathroom wall	wall	1	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
931	hall wall	wall	1	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
932	drawer sink table	drawer sink table	1	19	7	10	10	table	table	Table	Table	table	table	table	4379243	n04379243	table.n.02	5	table	2	occupied	occupied	2
933	keyboard piano	keyboard piano	1	298	39	6	6	piano	otherfurniture	Furniture	Furniture	piano		piano	3928116	n03928116	piano.n.01	39	objects	2	occupied	occupied	2
934	tree branch	tree branch	1		40	7	7		otherprop	Objects	Objects					n13163803	limb.n.02	39	objects	2	occupied	occupied	2
935	tiled floor	tiled floor	1	11	2	5	5	floor	floor	Floor	Floor							40	misc	1	unoccupied	occupied	2
936	ceiling bedroom	ceiling bedroom	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
937	chandellier	chandelier	1	342	38	7	7	chandelier	otherstructure	Objects	Objects					n03005285	chandelier.n.01	28	lighting	2	occupied	occupied	2
938	ceilin	ceiling	1	4	22	3	3	ceiling	ceiling	Ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling	1	unoccupied	unoccupied	1
939	hearst	hearst	1		40	7	7		otherprop	Objects	Objects					n11037278	hearst.n.01	39	objects	2	occupied	occupied	2
940	random wall	wall	1	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
941	condiments	condiment	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
942	shelf cubbies	shelf cubby	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
943	book display	book display	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
944	endtable	end table	1	19	7	10	10	table	table	Table	Table	table	table	table	4379243	n04379243	table.n.02	5	table	2	occupied	occupied	2
945	antique telephone	antique telephone	1	32	40	7	7	telephone	otherprop	Objects	Objects			telephone	4401088	n04401088	telephone.n.01	39	objects	2	occupied	occupied	2
946	clothes rack	clothes rack	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
947	doore	door	1	28	8	12	12	door	door	Wall	Wall	door				n03221720	door.n.01	4	door	2	occupied	occupied	2
948	heater piping	heater piping	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
949	tissue box stand	tissue box stand	1	50	39	6	6	stand	otherfurniture	Furniture	Furniture							40	misc	2	occupied	occupied	2
950	utencils	utensil	1	267	40	7	7	utensil	otherprop	Objects	Objects					n04516672	utensil.n.01	39	objects	2	occupied	occupied	2
951	foodtray	food tray	1	179	40	7	7	tray	otherprop	Objects	Objects					n04476259	tray.n.01	39	objects	2	occupied	occupied	2
952	shelves /otherroom	shelves /otherroom	1	42	15	6	6	shelves	shelves	Furniture	Furniture							40	misc	2	occupied	occupied	2
953	cailing	ceiling	1	4	22	3	3	ceiling	ceiling	Ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling	1	unoccupied	unoccupied	1
954	cluttered chair	chair	1	5	5	4	4	chair	chair	Chair	Chair	chair	chair	chair	3001627	n03001627	chair.n.01	3	chair	2	occupied	chair	3
955	countertop object	object	1		40	7	7		otherprop	Objects	Objects					n00002684	object.n.01	39	objects	2	occupied	occupied	2
956	art frames	art frame	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
957	soap bottle	soap bottle	1	2	40	7	7	bottle	otherprop	Objects	Objects	bottle		bottle	2876657	n02876657	bottle.n.01	39	objects	2	occupied	occupied	2
958	small wall	wall	1	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
959	watch	watch	1	384	40	7	7	watch	otherprop	Objects	Objects					n04555897	watch.n.01	39	objects	2	occupied	occupied	2
960	ceil	rail	1	497	38	7	7	railing	otherstructure	Objects	Objects					n04047401	railing.n.01	30	railing	2	occupied	occupied	2
961	fuse box	fuse box	1	26	29	7	7	box	box	Objects	Objects							40	misc	2	occupied	occupied	2
962	painting board	painting	1	64	11	8	8	picture	picture	Picture	Picture					n03876519	painting.n.01	39	objects	2	occupied	occupied	2
963	door locker handle	door locker handle	1	758	40	7	7	handle	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
964	box with clutter	box	1	26	29	7	7	box	box	Objects	Objects					n02883344	box.n.01	39	objects	2	occupied	occupied	2
965	knive holder	knife holder	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
966	computer mouse	computer mouse	1	103	40	7	7	mouse	otherprop	Objects	Objects					n03793489	mouse.n.04	39	objects	2	occupied	occupied	2
967	mirror / other room	mirror /otherroom	1	122	19	7	7	mirror	mirror	Objects	Objects					n03773035	mirror.n.01	21	mirror	2	occupied	occupied	2
968	door back side	door	1	28	8	12	12	door	door	Wall	Wall	door				n03221720	door.n.01	4	door	2	occupied	occupied	2
969	ceiling bath	ceiling bath	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
970	chandelier?	chandelier	1	342	38	7	7	chandelier	otherstructure	Objects	Objects					n03005285	chandelier.n.01	28	lighting	2	occupied	occupied	2
971	table tray	table tray	1	179	40	7	7	tray	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
972	aquarium	aquarium	1	263	40	7	7	vessel	otherprop	Objects	Objects					n02732072	aquarium.n.01	40	misc	2	occupied	occupied	2
973	wheelbarrow	wheelbarrow	1	305	40	7	7	cart	otherprop	Objects	Objects					n02797295	barrow.n.03	39	objects	2	occupied	occupied	2
974	curtain rail	curtain rail	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
975	rods / table	rods/table	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
976	counter /otherroom	counter /otherroom	1	7	12	6	6	counter	counter	Furniture	Furniture	table	table	table	4379243	n03116530	counter.n.01	26	counter	2	occupied	occupied	2
977	gable	gable	1	21	1	12	12	wall	wall	Wall	Wall					n03409393	gable.n.01	1	wall	2	occupied	occupied	2
978	bothroom wall	wall	1	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
979	balustrade	balustrade	1	453	38	7	7	banister	otherstructure	Objects	Objects					n02788148	bannister.n.02	30	railing	2	occupied	occupied	2
980	bathroom	bathroom	1		40	7	7		otherprop	Objects	Objects	toilet	toilet					40	misc	2	occupied	occupied	2
981	three	three	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
982	handcloth	hand cloth	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
983	wall curved	wall	1	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
984	teapoy	coffee table	1	356	39	6	6	coffee table	otherfurniture	Furniture	Furniture	table	table	table	4379243	n03063968	coffee_table.n.01	5	table	2	occupied	occupied	2
985	table with clutter	table	1	19	7	10	10	table	table	Table	Table	table	table	table	4379243	n04379243	table.n.02	5	table	2	occupied	occupied	2
986	back door	door	1	28	8	12	12	door	door	Wall	Wall	door				n03221720	door.n.01	4	door	2	occupied	occupied	2
987	rocky ground	rocky ground	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
988	doormat	doormat	2	143	20	5	5	floor mat	floor mat	Floor	Floor					n03223299	doormat.n.02	2	floor	1	unoccupied	unoccupied	1
989	backrest	backrest	1	5	5	4	4	chair	chair	Chair	Chair					n02767433	back.n.08	39	objects	2	occupied	occupied	2
990	cabinet with desk	cabinet	1	3	3	6	6	cabinet	cabinet	Furniture	Furniture			cabinet	2933112	n02933112	cabinet.n.01	7	cabinet	2	occupied	occupied	2
991	faucet handles	faucet	1	9	40	7	7	faucet	otherprop	Objects	Objects			faucet	3325088	n03325088	faucet.n.01	39	objects	2	occupied	occupied	2
992	floor trim	floor trim	1	868	38	7	7	floor trim	otherstructure	Objects	Objects							40	misc	2	occupied	occupied	2
993	toilet sliding door	toilet sliding door	1	28	8	12	12	door	door	Wall	Wall	door						40	misc	2	occupied	occupied	2
994	gym stuff	gym equipment	1	457	39	6	6	excercise equipment	otherfurniture	Furniture	Furniture					n04285146	sports_equipment.n.01	33	gym_equipment	2	occupied	occupied	2
995	clothes container	clothes container	1	140	40	7	7	container	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
996	basketball hoop	basketball hoop	1	162	40	7	7	basketball hoop	otherprop	Objects	Objects					n02802215	basket.n.03	33	gym_equipment	2	occupied	occupied	2
997	cooktop	stovetop	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
998	both tub	bathtub	1	136	36	7	7	bathtub	bathtub	Objects	Objects	bathtub	bathtub	tub	2808440	n02808440	bathtub.n.01	25	bathtub	2	occupied	occupied	2
999	fireplace heart	fireplace	1	372	38	7	7	fireplace	otherstructure	Objects	Objects					n03346455	fireplace.n.01	27	fireplace	2	occupied	occupied	2
1000	spice racks	spice rack	1	241	38	7	7	spice rack	otherstructure	Objects	Objects					n04275175	spice_rack.n.01	31	shelving	2	occupied	occupied	2
1001	wall fireplace	wall	1	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
1002	cabinet /w cluttered art	cabinet /w cluttered art	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
1003	inside wall	wall	1	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
1004	transformer	transformer	1		40	7	7		otherprop	Objects	Objects					n04471315	transformer.n.01	39	objects	2	occupied	occupied	2
1005	wall light	wall lamp	1	144	35	7	7	lamp	lamp	Objects	Objects	lamp		lamp	3636649	n03636649	lamp.n.02	28	lighting	2	occupied	occupied	2
1006	bathroom shelf	bathroom shelf	1	42	15	6	6	shelves	shelves	Furniture	Furniture					n04190052	shelf.n.01	31	shelving	2	occupied	occupied	2
1007	glass french door	door	1	28	8	12	12	door	door	Wall	Wall	door				n03221720	door.n.01	4	door	2	occupied	occupied	2
1008	lamp / other room	lamp /otherroom	1	144	35	7	7	lamp	lamp	Objects	Objects	lamp		lamp	3636649	n03636649	lamp.n.02	28	lighting	2	occupied	occupied	2
1009	picutre	picture	1	64	11	8	8	picture	picture	Picture	Picture					n03931044	picture.n.01	6	picture	2	occupied	occupied	2
1010	gift	gift	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
1011	mirror door	mirror door	1	28	8	12	12	door	door	Wall	Wall	door						40	misc	2	occupied	occupied	2
1012	deorative object	decoration	1		40	7	7		otherprop	Objects	Objects					n03169390	decoration.n.01	39	objects	2	occupied	occupied	2
1013	ceiling door	ceiling door	1	28	8	12	12	door	door	Wall	Wall	door						40	misc	2	occupied	occupied	2
1014	stack of papers	stack of papers	1	483	40	7	7	papers	otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
1015	holy cross	holy cross	1		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
1016	door window	door window	1	59	9	13	13	window	window	Window	Window							40	misc	2	occupied	occupied	2
1017	computer screen	monitor	1	49	40	7	7	monitor	otherprop	Objects	Objects	monitor	monitor	tv or monitor	3211117	n03782190	monitor.n.04	22	tv_monitor	2	occupied	tv_monitor	7
1018	while bottles	bottle	1	2	40	7	7	bottle	otherprop	Objects	Objects	bottle		bottle	2876657	n02876657	bottle.n.01	39	objects	2	occupied	occupied	2
